PropertyName,YearBuilt,ConstructionStatus,UnitCount,MarketName,SubmarketName,Latitude,Longitude
The Muse,2018,Existing,120,"Denver, CO",Glendale University Area,39.675110,-104.958986
Westwood Green,2018,Existing,300,"Denver, CO",Lakewood/West Corridor,39.677064,-105.078488
Arabelle Lincoln Station,2018,Existing,232,"Denver, CO",Highlands Ranch-Lone Tree,39.542320,-104.871645
Broadway Lofts,2018,Existing,111,"Denver, CO",Englewood/Littleton,39.654704,-104.988305
Encore Evans Station,2018,Existing,224,"Denver, CO",West Denver,39.683140,-104.990543
LoHi House,2018,Existing,106,"Denver, CO",West Denver,39.762195,-105.011613
Timberline Farms,2018,Existing,314,"Denver, CO",North Jefferson County,39.800330,-105.130079
Windmill Ranch Apartments,2018,Existing,96,"Denver, CO",Northeast Adams County,39.969651,-104.812661
The Quincy,2018,Existing,359,"Denver, CO",Downtown Denver,39.748509,-104.992424
Sylvan Uptown,2018,Existing,99,"Denver, CO",Downtown Denver,39.742194,-104.981394
Watermark on Twenty Mile,2018,Existing,294,"Denver, CO",South Douglas County,39.515443,-104.773873
Theo,2018,Existing,275,"Denver, CO",East Denver,39.731768,-104.940000
Griffis Cherry Creek North,2018,Existing,164,"Denver, CO",Downtown Denver,39.716872,-104.947653
The Glenn,2018,Existing,306,"Denver, CO",DTC/Southeast Corridor,39.574256,-104.878730
Vita Littleton,2018,Existing,159,"Denver, CO",Englewood/Littleton,39.612784,-105.013049
Yale 25 Station Apartments,2018,Existing,112,"Denver, CO",Glendale University Area,39.667760,-104.929087
The Henry,2018,Existing,403,"Denver, CO",Downtown Denver,39.697525,-104.984074
Jasper Towers,2018,Existing,508,"Denver, CO",Downtown Denver,39.755819,-105.001788
Edison at Rino,2018,Existing,277,"Denver, CO",Downtown Denver,39.766200,-104.985199
St. Paul Collection,2018,Existing,165,"Denver, CO",Downtown Denver,39.720318,-104.951373
1880 Little Raven,2018,Existing,161,"Denver, CO",Downtown Denver,39.758361,-105.002711
Elements at Prairie Center,2018,Existing,288,"Denver, CO",Northeast Adams County,39.957523,-104.785719
The Montane,2018,Existing,400,"Denver, CO",South Douglas County,39.560809,-104.777446
The Carillon at Belleview Station,2018,Existing,180,"Denver, CO",DTC/Southeast Corridor,39.626034,-104.909612
The Tenzing,2018,Existing,320,"Denver, CO",Northwest Adams County,39.908942,-105.004687
Modera River North,2018,Existing,182,"Denver, CO",Downtown Denver,39.762051,-104.983769
Avalon Castle Rock at the Meadows,2018,Existing,240,"Denver, CO",South Douglas County,39.405219,-104.887783
Centric LoHi by Windsor,2018,Existing,302,"Denver, CO",West Denver,39.761089,-105.007105
24Fifty at University Park,2018,Existing,252,"Denver, CO",Glendale University Area,39.671926,-104.958972
Enclave Belle Creek,2018,Existing,167,"Denver, CO",Northeast Adams County,39.888918,-104.880966
The Economist,2018,Existing,98,"Denver, CO",Downtown Denver,39.741333,-104.969326
1515 Flats at Sloans Lake - Colfax & Vrain,2018,Existing,82,"Denver, CO",West Denver,39.740588,-105.046706
Platt Park by Windsor,2018,Existing,303,"Denver, CO",Glendale University Area,39.695556,-104.986640
Auburn Brook,2018,Existing,95,"Denver, CO",South Douglas County,39.379638,-104.875297
The Palmer,2018,Existing,252,"Denver, CO",Highlands Ranch-Lone Tree,39.563967,-104.859120
Sentral Union Station,2018,Existing,579,"Denver, CO",Downtown Denver,39.755119,-105.001531
The Lydian,2018,Existing,129,"Denver, CO",Downtown Denver,39.753439,-104.979394
The Village & Greens at Southglenn,2018,Existing,60,"Denver, CO",Englewood/Littleton,39.591764,-104.965833
Alto at Westminster,2018,Existing,70,"Denver, CO",Northeast Adams County,39.824834,-105.025665
St. Francis Apartments at Cathedral Square,2018,Existing,50,"Denver, CO",Downtown Denver,39.739119,-104.978540
The Ridge at Thornton Station,2018,Existing,280,"Denver, CO",Northwest Adams County,39.880482,-104.942351
Ride at RiNo,2018,Existing,84,"Denver, CO",Downtown Denver,39.770921,-104.976607
Fifty Eight Hundred,2018,Existing,152,"Denver, CO",Lakewood/West Corridor,39.710839,-105.060954
Covell on the Promenade,2018,Existing,300,"Denver, CO",North Jefferson County,39.891672,-105.065671
Station A at Gateway Park,2018,Existing,400,"Denver, CO",East Denver,39.778698,-104.801333
Avalon Red Rocks,2018,Existing,256,"Denver, CO",South Jefferson County,39.622692,-105.148462
IMT at Ridgegate,2018,Existing,219,"Denver, CO",Highlands Ranch-Lone Tree,39.534077,-104.871964
Avalon Southlands,2018,Existing,338,"Denver, CO",Aurora,39.592105,-104.690580
Caliber at Hyland Village,2018,Existing,164,"Denver, CO",North Jefferson County,39.871103,-105.055470
The Ranch at First Creek,2018,Existing,264,"Denver, CO",East Denver,39.793080,-104.773259
Vistas at Panorama Pointe,2018,Existing,69,"Denver, CO",Northwest Adams County,39.848035,-105.017787
Elevate at Pena Station,2019,Existing,218,"Denver, CO",East Denver,39.808443,-104.778936
The Kasserman,2019,Existing,100,"Denver, CO",West Denver,39.761565,-105.009182
Canvas on Blake,2019,Existing,241,"Denver, CO",Downtown Denver,39.758808,-104.989313
High Line Pointe Luxury Apartments,2019,Existing,190,"Denver, CO",Aurora,39.692405,-104.894988
North Range Crossings,2019,Existing,217,"Denver, CO",Northeast Adams County,39.884215,-104.820002
Crossing Pointe North,2019,Existing,64,"Denver, CO",Northeast Adams County,39.884520,-104.938046
Boulevard 1 Residences,2019,Existing,72,"Denver, CO",Glendale University Area,39.714674,-104.910413
Peak 83,2019,Existing,255,"Denver, CO",South Douglas County,39.506485,-104.761981
Park Sixty Four,2019,Existing,64,"Denver, CO",South Douglas County,39.519951,-104.762374
1600 Hoyt,2019,Existing,64,"Denver, CO",Lakewood/West Corridor,39.741539,-105.103169
SOVA,2019,Existing,211,"Denver, CO",Downtown Denver,39.746536,-104.983913
AMLI Riverfront Green,2019,Existing,304,"Denver, CO",Downtown Denver,39.757102,-105.003828
Hawthorne Hill 2,2019,Existing,93,"Denver, CO",Northwest Adams County,39.912800,-104.954580
Greenbelt at Town Center,2019,Existing,79,"Denver, CO",East Denver,39.755268,-104.900230
Avilla Buffalo Run,2019,Existing,123,"Denver, CO",Northeast Adams County,39.913441,-104.802256
Marq Iliff Station,2019,Existing,316,"Denver, CO",Aurora,39.674438,-104.824744
The Depot at Twenty Mile,2019,Existing,200,"Denver, CO",South Douglas County,39.546300,-104.776902
Caliber at Flatirons,2019,Existing,288,"Denver, CO",Broomfield County,39.948823,-105.122283
Oak Street Station,2019,Existing,292,"Denver, CO",Lakewood/West Corridor,39.738258,-105.117288
Gateway at Arvada Ridge Apartments,2019,Existing,296,"Denver, CO",North Jefferson County,39.794604,-105.111154
East Range Crossings,2019,Existing,252,"Denver, CO",East Denver,39.804713,-104.765157
Christine Place,2019,Existing,96,"Denver, CO",Northeast Adams County,39.997409,-104.798890
Littleton Crossing,2019,Existing,63,"Denver, CO",Englewood/Littleton,39.615893,-105.017593
Avalon Lowry,2019,Existing,347,"Denver, CO",East Denver,39.716659,-104.904348
Baker School Apartments,2019,Existing,142,"Denver, CO",Northeast Adams County,39.813410,-105.033659
The Ridge Pinehurst,2019,Existing,325,"Denver, CO",South Jefferson County,39.639758,-105.078251
Radiant,2019,Existing,329,"Denver, CO",Downtown Denver,39.749472,-104.984404
Riverwalk,2019,Existing,230,"Denver, CO",South Douglas County,39.371681,-104.860630
Civic Lofts,2019,Existing,176,"Denver, CO",Downtown Denver,39.736546,-104.992614
The Argonne,2019,Existing,324,"Denver, CO",East Denver,39.799190,-104.766073
Fusion 355,2019,Existing,286,"Denver, CO",Broomfield County,39.923667,-105.122360
20th Street Station Apartments,2019,Existing,354,"Denver, CO",Downtown Denver,39.749213,-104.986481
Vista El Rancho,2019,Existing,55,"Denver, CO",South Jefferson County,39.696189,-105.324880
Alas over Lowry,2019,Existing,300,"Denver, CO",East Denver,39.721733,-104.888867
AMLI Littleton Village Apartments,2019,Existing,352,"Denver, CO",Englewood/Littleton,39.581545,-104.984278
Bonaventure of Thornton,2019,Existing,152,"Denver, CO",Northwest Adams County,39.918580,-104.976328
Arapahoe Square,2019,Existing,355,"Denver, CO",Downtown Denver,39.750842,-104.982862
Gables Residences,2019,Existing,122,"Denver, CO",Downtown Denver,39.711219,-104.944470
Parq on Speer,2019,Existing,302,"Denver, CO",Downtown Denver,39.730896,-104.990562
Indy Street Flats,2019,Existing,115,"Denver, CO",Lakewood/West Corridor,39.738992,-105.104409
Gateway South,2019,Existing,90,"Denver, CO",West Denver,39.733475,-105.021921
Ascent Westminster,2019,Existing,255,"Denver, CO",North Jefferson County,39.857289,-105.059559
Cortland at Coalton,2019,Existing,198,"Denver, CO",Broomfield County,39.927599,-105.138629
Springs at Eagle Bend,2019,Existing,280,"Denver, CO",Aurora,39.577171,-104.720562
Epoque Golden,2019,Existing,120,"Denver, CO",North Jefferson County,39.775511,-105.234430
Sobo Station,2019,Existing,187,"Denver, CO",Downtown Denver,39.712404,-104.994396
Eaton Street Apartments,2019,Existing,118,"Denver, CO",North Jefferson County,39.857930,-105.058516
The Point at Biscay,2019,Existing,96,"Denver, CO",Aurora,39.655503,-104.767276
"Solana Lakewood ",2019,Existing,230,"Denver, CO",Lakewood/West Corridor,39.741529,-105.121330
Botanica Town Center,2019,Existing,153,"Denver, CO",East Denver,39.756150,-104.899771
Arroyo Village,2019,Existing,130,"Denver, CO",West Denver,39.736055,-105.032482
Tangent Apartments,2019,Existing,140,"Denver, CO",DTC/Southeast Corridor,39.637561,-104.911736
Westerly,2019,Existing,345,"Denver, CO",South Jefferson County,39.560617,-105.123077
The Quayle,2019,Existing,102,"Denver, CO",Downtown Denver,39.718505,-104.987748
Cortland Cap Hill,2019,Existing,197,"Denver, CO",Downtown Denver,39.735724,-104.983141
TriVista on Speer,2019,Existing,322,"Denver, CO",Downtown Denver,39.737686,-104.995845
The Villas at Prairie Center,2019,Existing,136,"Denver, CO",Northeast Adams County,39.957177,-104.789222
The Mezz | Fiddler's Green,2020,Existing,149,"Denver, CO",DTC/Southeast Corridor,39.600093,-104.898612
Overture 9th and Colorado,2020,Existing,207,"Denver, CO",East Denver,39.732583,-104.937857
Vida at Sloan's Lake,2020,Existing,176,"Denver, CO",West Denver,39.740631,-105.040155
The Elisabetta,2020,Existing,91,"Denver, CO",Downtown Denver,39.789773,-104.987066
Deco,2020,Existing,350,"Denver, CO",Glendale University Area,39.677364,-104.940026
Milo,2020,Existing,319,"Denver, CO",East Denver,39.732383,-104.939072
Kabin,2020,Existing,195,"Denver, CO",Downtown Denver,39.771258,-104.985506
Alexan Julian,2020,Existing,202,"Denver, CO",West Denver,39.769042,-105.032939
Walnut Flats,2020,Existing,66,"Denver, CO",Downtown Denver,39.770154,-104.972579
Alameda View Apartments,2020,Existing,116,"Denver, CO",Aurora,39.709760,-104.807930
Range View Apartments,2020,Existing,223,"Denver, CO",South Adams County,39.747931,-104.820594
Basecamp Apartments,2020,Existing,72,"Denver, CO",North Jefferson County,39.754866,-105.233537
Brandon Courtyard,2020,Existing,104,"Denver, CO",West Denver,39.741189,-105.050163
Apex Meridian East,2020,Existing,156,"Denver, CO",Highlands Ranch-Lone Tree,39.557923,-104.864025
The Lodge at Ken Caryl Senior Living,2020,Existing,138,"Denver, CO",South Jefferson County,39.574893,-105.136001
The Fremont,2020,Existing,253,"Denver, CO",South Adams County,39.748768,-104.835543
Alta Green Mountain,2020,Existing,260,"Denver, CO",Lakewood/West Corridor,39.700114,-105.146202
Ridge at Castle Rock,2020,Existing,204,"Denver, CO",South Douglas County,39.401355,-104.889333
Connect at First Creek Apartments,2020,Existing,150,"Denver, CO",East Denver,39.797972,-104.778864
The Haven,2020,Existing,206,"Denver, CO",East Denver,39.791851,-104.773354
The Flats at Two Creeks,2020,Existing,78,"Denver, CO",Lakewood/West Corridor,39.739021,-105.061105
The Pullman,2020,Existing,168,"Denver, CO",Downtown Denver,39.756372,-104.998495
Aspire 7th & Grant,2020,Existing,178,"Denver, CO",Downtown Denver,39.726853,-104.983195
Camden RiNo,2020,Existing,233,"Denver, CO",Downtown Denver,39.764676,-104.978237
Terracina Apartment Homes - Phase II,2020,Existing,100,"Denver, CO",Broomfield County,39.943614,-105.122582
Modera LoHi,2020,Existing,132,"Denver, CO",West Denver,39.759012,-105.009805
Curate at Orchard Town Center,2020,Existing,270,"Denver, CO",Northeast Adams County,39.963334,-104.994592
Raleigh at Sloan's Lake,2020,Existing,249,"Denver, CO",West Denver,39.743314,-105.040794
Larkridge Apartments,2020,Existing,338,"Denver, CO",Northeast Adams County,39.988478,-104.982094
The Alcott,2020,Existing,248,"Denver, CO",West Denver,39.752692,-105.017086
Park 17,2020,Existing,190,"Denver, CO",Downtown Denver,39.742769,-104.971249
Circa Fitzsimons,2020,Existing,280,"Denver, CO",South Adams County,39.754105,-104.850999
Neon Local,2020,Existing,238,"Denver, CO",Downtown Denver,39.715034,-104.988178
Peoria Crossing,2020,Existing,210,"Denver, CO",South Adams County,39.759425,-104.846594
Dayton Station Luxury Townhomes,2020,Existing,63,"Denver, CO",Glendale University Area,39.646764,-104.878727
Incline 45,2020,Existing,270,"Denver, CO",East Denver,39.777424,-104.774222
Nine Mile Station Senior Living,2020,Existing,50,"Denver, CO",Aurora,39.662275,-104.845699
Chroma Apartments,2020,Existing,359,"Denver, CO",Highlands Ranch-Lone Tree,39.555056,-105.002282
Peakline at Copperleaf,2020,Existing,266,"Denver, CO",Aurora,39.636473,-104.737071
Notable Apartments,2020,Existing,218,"Denver, CO",Lakewood/West Corridor,39.728256,-105.127782
Residences at Hoffman,2020,Existing,85,"Denver, CO",Aurora,39.737185,-104.830890
Luxe At Mile High,2020,Existing,382,"Denver, CO",West Denver,39.739374,-105.027753
West 38,2020,Existing,165,"Denver, CO",Lakewood/West Corridor,39.770025,-105.078541
Moline at Stapleton,2020,Existing,180,"Denver, CO",East Denver,39.755022,-104.851848
Bromwell,2020,Existing,170,"Denver, CO",Downtown Denver,39.721530,-104.982924
Creekline Townhomes,2020,Existing,68,"Denver, CO",Aurora,39.675452,-104.887806
Modena Cherry Creek,2020,Existing,96,"Denver, CO",Aurora,39.671989,-104.889866
Gables Vista,2020,Existing,255,"Denver, CO",Downtown Denver,39.709673,-104.942866
Atlantis,2020,Existing,144,"Denver, CO",Downtown Denver,39.712683,-104.992794
Zia Sunnyside,2020,Existing,434,"Denver, CO",West Denver,39.772706,-104.998736
The Overland,2021,Existing,140,"Denver, CO",West Denver,39.679362,-104.991463
Bloom at Cherry Creek,2021,Existing,111,"Denver, CO",Glendale University Area,39.699630,-104.932617
The Kendrick,2021,Existing,254,"Denver, CO",Downtown Denver,39.744412,-104.971843
Lamar Station Crossing Phase II,2021,Existing,65,"Denver, CO",Lakewood/West Corridor,39.735791,-105.064692
Aspire Westminster,2021,Existing,226,"Denver, CO",North Jefferson County,39.859554,-105.060827
Camber Apartments,2021,Existing,240,"Denver, CO",East Denver,39.806745,-104.768040
Bridges at Flatiron,2021,Existing,327,"Denver, CO",Broomfield County,39.930392,-105.122286
The Julian at Sloan’s Lake,2021,Existing,54,"Denver, CO",West Denver,39.741020,-105.031869
4400 Syracuse,2021,Existing,316,"Denver, CO",DTC/Southeast Corridor,39.636384,-104.898401
The Audrey,2021,Existing,134,"Denver, CO",Highlands Ranch-Lone Tree,39.546534,-104.997635
Talus Flats,2021,Existing,111,"Denver, CO",South Douglas County,39.403139,-104.887906
The Stella,2021,Existing,132,"Denver, CO",Downtown Denver,39.790776,-104.987143
Bromley at Brighton Crossing,2021,Existing,315,"Denver, CO",Northeast Adams County,39.988527,-104.754600
AlfaCharlie,2021,Existing,239,"Denver, CO",East Denver,39.814768,-104.768542
Murphy Creek,2021,Existing,174,"Denver, CO",Aurora,39.683692,-104.703171
Kappa Tower II,2021,Existing,70,"Denver, CO",East Denver,39.784979,-104.883803
