PropertyName,StartDate,Year Completed/Expected,ConstructionStatus,UnitCount,MarketName,SubmarketName,Latitude,Longitude,Year Started/Expected,Start_year_range,Completion_year_range
Timberline Farms,2017-05-01,2018,Existing,314,"Denver, CO",North Jefferson County,39.80033,-105.130079,2017.0,nan,2018-2020
The Economist,2017-07-01,2018,Existing,98,"Denver, CO",Downtown Denver,39.741333,-104.969326,2017.0,nan,2018-2020
Griffis Cherry Creek North,2015-06-01,2018,Existing,164,"Denver, CO",Downtown Denver,39.716872,-104.947653,2015.0,nan,2018-2020
24Fifty at University Park,2015-12-01,2018,Existing,252,"Denver, CO",Glendale University Area,39.671926,-104.958972,2015.0,nan,2018-2020
Auburn Brook,2017-08-01,2018,Existing,95,"Denver, CO",South Douglas County,39.379638,-104.875297,2017.0,nan,2018-2020
Vistas at Panorama Pointe,2017-02-01,2018,Existing,69,"Denver, CO",Northwest Adams County,39.848035,-105.017787,2017.0,nan,2018-2020
IMT at Ridgegate,2016-12-01,2018,Existing,219,"Denver, CO",Highlands Ranch-Lone Tree,39.534077,-104.871964,2016.0,nan,2018-2020
Centric LoHi by Windsor,2015-03-01,2018,Existing,302,"Denver, CO",West Denver,39.761089,-105.007105,2015.0,nan,2018-2020
Avalon Southlands,2016-06-01,2018,Existing,338,"Denver, CO",Aurora,39.592105,-104.69058,2016.0,nan,2018-2020
Watermark on Twenty Mile,2017-11-01,2018,Existing,294,"Denver, CO",South Douglas County,39.515443,-104.773873,2017.0,nan,2018-2020
Theo,2016-08-01,2018,Existing,275,"Denver, CO",East Denver,39.731768,-104.94,2016.0,nan,2018-2020
Jasper Towers,2016-03-01,2018,Existing,508,"Denver, CO",Downtown Denver,39.755819,-105.001788,2016.0,nan,2018-2020
Avalon Red Rocks,2016-07-01,2018,Existing,256,"Denver, CO",South Jefferson County,39.622692,-105.148462,2016.0,nan,2018-2020
Encore Evans Station,2017-06-01,2018,Existing,224,"Denver, CO",West Denver,39.68314,-104.990543,2017.0,nan,2018-2020
The Glenn,2016-08-01,2018,Existing,306,"Denver, CO",DTC/Southeast Corridor,39.574256,-104.87873,2016.0,nan,2018-2020
Vita Littleton,2016-07-01,2018,Existing,159,"Denver, CO",Englewood/Littleton,39.612784,-105.013049,2016.0,nan,2018-2020
The Muse,2016-06-01,2018,Existing,120,"Denver, CO",Glendale University Area,39.67511,-104.958986,2016.0,nan,2018-2020
Avalon Castle Rock at the Meadows,2016-11-01,2018,Existing,240,"Denver, CO",South Douglas County,39.405219,-104.887783,2016.0,nan,2018-2020
The Palmer,2018-06-01,2018,Existing,252,"Denver, CO",Highlands Ranch-Lone Tree,39.563967,-104.85912,2018.0,2018-2020,2018-2020
The Quincy,2016-01-01,2018,Existing,359,"Denver, CO",Downtown Denver,39.748509,-104.992424,2016.0,nan,2018-2020
Sylvan Uptown,2016-05-01,2018,Existing,99,"Denver, CO",Downtown Denver,39.742194,-104.981394,2016.0,nan,2018-2020
LoHi House,2016-07-01,2018,Existing,106,"Denver, CO",West Denver,39.762195,-105.011613,2016.0,nan,2018-2020
Enclave Belle Creek,2016-02-01,2018,Existing,167,"Denver, CO",Northeast Adams County,39.888918,-104.880966,2016.0,nan,2018-2020
Windmill Ranch Apartments,2017-11-01,2018,Existing,96,"Denver, CO",Northeast Adams County,39.969651,-104.812661,2017.0,nan,2018-2020
1515 Flats at Sloans Lake - Colfax & Vrain,2017-02-01,2018,Existing,82,"Denver, CO",West Denver,39.740588,-105.046706,2017.0,nan,2018-2020
Platt Park by Windsor,2017-04-01,2018,Existing,303,"Denver, CO",Glendale University Area,39.695556,-104.98664,2017.0,nan,2018-2020
