SubmarketName,year_range,Demand,Supply,demand_supply_ratio
Aurora,2018-2020,1793.0,1567.0,1.1442246330567964
Aurora,2021-2022,1215.0,1409.0,0.8623136976579134
Aurora,2023-2024,300.0,1736.0,0.1728110599078341
Aurora,2025-2026,1856.0,2811.0,0.6602632515119174
Aurora,2027-2028,2729.0,2043.0,1.3357807146353402
Broomfield County,2018-2020,1054.0,872.0,1.2087155963302751
Broomfield County,2021-2022,612.0,800.0,0.765
Broomfield County,2023-2024,790.0,1231.0,0.6417546709991877
Broomfield County,2025-2026,1038.0,1773.0,0.5854483925549916
Broomfield County,2027-2028,1362.0,754.0,1.806366047745358
Clear Creek County,2018-2020,12.0,10.0,1.2
Clear Creek County,2021-2022,62.0,74.0,0.8378378378378378
Clear Creek County,2023-2024,5.0,0.0,1.0
Clear Creek County,2025-2026,0.0,-1.0,1.0
Clear Creek County,2027-2028,0.0,0.0,1.0
DTC/Southeast Corridor,2018-2020,1163.0,595.0,1.9546218487394957
DTC/Southeast Corridor,2021-2022,979.0,1044.0,0.9377394636015326
DTC/Southeast Corridor,2023-2024,274.0,1050.0,0.26095238095238094
DTC/Southeast Corridor,2025-2026,1044.0,1173.0,0.8900255754475703
DTC/Southeast Corridor,2027-2028,898.0,550.0,1.6327272727272728
Downtown Denver,2018-2020,7132.0,8176.0,0.8723091976516634
Downtown Denver,2021-2022,4931.0,4761.0,1.0357067842890149
Downtown Denver,2023-2024,4601.0,8547.0,0.5383175383175384
Downtown Denver,2025-2026,3966.0,2643.0,1.5005675368898979
Downtown Denver,2027-2028,3416.0,2835.0,1.2049382716049384
East Denver,2018-2020,2664.0,3389.0,0.7860725877840071
East Denver,2021-2022,1804.0,1516.0,1.1899736147757256
East Denver,2023-2024,2209.0,3322.0,0.6649608669476219
East Denver,2025-2026,1456.0,1542.0,0.9442282749675746
East Denver,2027-2028,1327.0,1122.0,1.1827094474153297
Elbert County,2018-2020,0.0,0.0,1.0
Elbert County,2021-2022,0.0,0.0,1.0
Elbert County,2023-2024,43.0,80.0,0.5375
Elbert County,2025-2026,27.0,-1.0,1.0
Elbert County,2027-2028,3.0,0.0,1.0
Englewood/Littleton,2018-2020,545.0,500.0,1.09
Englewood/Littleton,2021-2022,188.0,170.0,1.1058823529411765
Englewood/Littleton,2023-2024,345.0,852.0,0.40492957746478875
Englewood/Littleton,2025-2026,304.0,247.0,1.2307692307692308
Englewood/Littleton,2027-2028,699.0,725.0,0.9641379310344828
Gilpin County,2018-2020,0.0,0.0,1.0
Gilpin County,2021-2022,0.0,0.0,1.0
Gilpin County,2023-2024,0.0,0.0,1.0
Gilpin County,2025-2026,0.0,-1.0,1.0
Gilpin County,2027-2028,0.0,0.0,1.0
Glendale University Area,2018-2020,1038.0,1316.0,0.7887537993920972
Glendale University Area,2021-2022,529.0,203.0,2.605911330049261
Glendale University Area,2023-2024,0.0,843.0,0.0
Glendale University Area,2025-2026,0.0,228.0,0.0
Glendale University Area,2027-2028,45.0,154.0,0.2922077922077922
Highlands Ranch-Lone Tree,2018-2020,1248.0,1062.0,1.1751412429378532
Highlands Ranch-Lone Tree,2021-2022,89.0,240.0,0.37083333333333335
Highlands Ranch-Lone Tree,2023-2024,664.0,1100.0,0.6036363636363636
Highlands Ranch-Lone Tree,2025-2026,325.0,6.0,54.166666666666664
Highlands Ranch-Lone Tree,2027-2028,183.0,266.0,0.6879699248120301
Lakewood/West Corridor,2018-2020,1423.0,1176.0,1.2100340136054422
Lakewood/West Corridor,2021-2022,1819.0,2051.0,0.8868844466114091
Lakewood/West Corridor,2023-2024,979.0,1498.0,0.6535380507343124
Lakewood/West Corridor,2025-2026,442.0,732.0,0.6038251366120219
Lakewood/West Corridor,2027-2028,609.0,542.0,1.1236162361623616
North Jefferson County,2018-2020,1486.0,1521.0,0.9769888231426693
North Jefferson County,2021-2022,1024.0,1080.0,0.9481481481481482
North Jefferson County,2023-2024,621.0,1390.0,0.44676258992805756
North Jefferson County,2025-2026,598.0,301.0,1.9867109634551494
North Jefferson County,2027-2028,469.0,403.0,1.163771712158809
Northeast Adams County,2018-2020,825.0,1092.0,0.7554945054945055
Northeast Adams County,2021-2022,834.0,875.0,0.9531428571428572
Northeast Adams County,2023-2024,372.0,553.0,0.6726943942133815
Northeast Adams County,2025-2026,90.0,120.0,0.75
Northeast Adams County,2027-2028,161.0,197.0,0.817258883248731
Northwest Adams County,2018-2020,606.0,693.0,0.8744588744588745
Northwest Adams County,2021-2022,314.0,727.0,0.43191196698762035
Northwest Adams County,2023-2024,656.0,1231.0,0.5329000812347685
Northwest Adams County,2025-2026,407.0,611.0,0.6661211129296236
Northwest Adams County,2027-2028,669.0,497.0,1.3460764587525151
Outlying Arapahoe County,2021-2022,250.0,270.0,0.9259259259259259
Outlying Arapahoe County,2023-2024,27.0,154.0,0.17532467532467533
Outlying Arapahoe County,2025-2026,159.0,130.0,1.2230769230769232
Outlying Arapahoe County,2027-2028,129.0,71.0,1.8169014084507042
Park County,2018-2020,0.0,0.0,1.0
Park County,2021-2022,0.0,0.0,1.0
Park County,2023-2024,0.0,0.0,1.0
Park County,2025-2026,0.0,-1.0,1.0
Park County,2027-2028,0.0,0.0,1.0
South Adams County,2018-2020,325.0,533.0,0.6097560975609756
South Adams County,2021-2022,220.0,506.0,0.43478260869565216
South Adams County,2023-2024,998.0,1446.0,0.690179806362379
South Adams County,2025-2026,393.0,13.0,30.23076923076923
South Adams County,2027-2028,253.0,368.0,0.6875
South Douglas County,2018-2020,2234.0,1982.0,1.1271442986881937
South Douglas County,2021-2022,655.0,1536.0,0.4264322916666667
South Douglas County,2023-2024,2114.0,2064.0,1.0242248062015504
South Douglas County,2025-2026,609.0,804.0,0.7574626865671642
South Douglas County,2027-2028,842.0,705.0,1.1943262411347517
South Jefferson County,2018-2020,756.0,601.0,1.2579034941763727
South Jefferson County,2021-2022,253.0,326.0,0.7760736196319018
South Jefferson County,2023-2024,0.0,0.0,1.0
South Jefferson County,2025-2026,0.0,-3.0,1.0
South Jefferson County,2027-2028,0.0,0.0,1.0
West Denver,2018-2020,2359.0,2999.0,0.786595531843948
West Denver,2021-2022,1952.0,1164.0,1.6769759450171822
West Denver,2023-2024,1434.0,2374.0,0.6040438079191238
West Denver,2025-2026,1381.0,2069.0,0.66747220879652
West Denver,2027-2028,1519.0,990.0,1.5343434343434343
